DateTime,Light_lux,Temp_C,Chlorophyll_RFU,Depth_m,fDOM_RFU,ODO_mg_L,SpCond_uS_cm,TAL_PC_RFU,pH,Turbidity_FNU
3/28/2023 3:30,0,15.241,0.48,0.434,8.27,9.66,120.1,0.51,7.48,2.16
3/28/2023 3:35,0,15.262,0.4,0.433,8.29,9.68,120.1,0.49,7.48,2.17
3/28/2023 3:40,0,15.297,0.42,0.434,8.29,9.7,120.1,0.48,7.48,2.4
3/28/2023 3:45,0,15.271,0.5,0.434,8.29,9.68,120.1,0.53,7.48,2.56
3/28/2023 3:50,0,15.243,0.43,0.432,8.28,9.67,120.1,0.5,7.48,2.24
3/28/2023 3:55,0,15.194,0.44,0.433,8.31,9.67,120.1,0.51,7.48,2.3
3/28/2023 4:00,0,15.084,0.49,0.436,8.32,9.67,120,0.49,7.48,2.58
3/28/2023 4:05,0,15.068,0.5,0.435,8.31,9.49,120.3,0.52,7.44,2.45
3/28/2023 4:10,0,15.051,0.45,0.435,8.31,9.5,120.2,0.55,7.45,2.65
3/28/2023 4:15,0,14.975,0.56,0.433,8.32,9.56,120.2,0.53,7.46,2.23
3/28/2023 4:20,0,14.983,0.46,0.429,8.34,9.62,120.4,0.53,7.47,2.31
3/28/2023 4:25,0,14.939,0.43,0.429,8.35,9.59,120.5,0.54,7.46,2.07
3/28/2023 4:30,0,14.945,0.41,0.429,8.36,9.56,120.6,0.5,7.45,2.55
3/28/2023 4:35,0,14.961,0.58,0.43,8.37,9.59,120.4,0.56,7.46,2.63
3/28/2023 4:40,0,14.902,0.42,0.43,8.39,9.62,120.3,0.54,7.46,2.09
3/28/2023 4:45,0,14.973,0.5,0.428,8.42,9.7,120,0.52,7.48,2.27
3/28/2023 4:50,0,14.877,0.41,0.428,8.45,9.73,119.8,0.52,7.49,2.28
3/28/2023 4:55,0,14.89,0.44,0.428,8.43,9.73,120.1,0.5,7.49,2.31
3/28/2023 5:00,0,14.862,0.46,0.427,8.26,9.66,120.1,0.54,7.47,2.43
3/28/2023 5:05,0,14.897,0.46,0.428,8.45,9.71,120,0.53,7.48,2.48
3/28/2023 5:10,0,14.881,0.45,0.428,8.46,9.77,119.8,0.49,7.49,2.28
3/28/2023 5:15,0,14.864,0.48,0.43,8.49,9.83,119.5,0.53,7.51,2.49
3/28/2023 5:20,0,14.798,0.46,0.43,8.49,9.87,119.5,0.56,7.52,2.71
3/28/2023 5:25,0,14.74,0.47,0.429,8.56,9.95,119.3,0.53,7.53,2.56
3/28/2023 5:30,0,14.757,0.49,0.428,8.6,10.03,119.1,0.54,7.55,2.33
3/28/2023 5:35,0,14.763,0.46,0.428,8.65,10.07,118.9,0.56,7.57,2.61
3/28/2023 5:40,0,14.816,0.44,0.43,8.67,10.2,118.7,0.53,7.6,2.62
3/28/2023 5:45,0,14.855,0.48,0.432,8.67,10.28,118.7,0.55,7.62,2.62
3/28/2023 5:50,0,14.795,0.46,0.433,8.73,10.27,118.5,0.53,7.62,2.36
3/28/2023 5:55,0,14.747,0.46,0.439,8.73,10.21,118.5,0.52,7.62,2.48
3/28/2023 6:00,0,14.726,0.48,0.441,8.75,10.29,118.6,0.55,7.63,2.46
3/28/2023 6:05,0,14.735,0.49,0.44,8.7,10.23,118.8,0.54,7.61,2.38
3/28/2023 6:10,0,14.532,0.52,0.438,8.73,10.13,119,0.57,7.59,2.52
3/28/2023 6:15,0,14.515,0.54,0.436,8.75,10.1,119.1,0.55,7.56,2.69
3/28/2023 6:20,1.01,14.6,0.62,0.433,8.75,10.12,118.9,0.59,7.56,2.52
3/28/2023 6:25,4.85,14.585,0.49,0.433,8.76,10.12,118.9,0.57,7.57,3.25
3/28/2023 6:30,13.17,14.609,0.5,0.432,8.74,10.15,118.9,0.55,7.57,2.43
3/28/2023 6:35,32.45,14.612,0.49,0.432,8.75,10.16,118.9,0.53,7.58,2.51
3/28/2023 6:40,60.06,14.568,0.49,0.435,8.75,10.12,118.9,0.53,7.57,2.52
3/28/2023 6:45,107.16,14.466,0.51,0.432,8.75,10.05,119,0.57,7.56,2.8
3/28/2023 6:50,186,14.507,0.48,0.432,8.77,10.13,118.9,0.55,7.57,2.54
3/28/2023 6:55,216.96,14.546,0.53,0.431,8.74,10.1,119.1,0.54,7.57,2.59
3/28/2023 7:00,266.72,14.574,0.54,0.434,8.71,10.11,119,0.55,7.57,2.59
3/28/2023 7:05,299.84,14.553,0.62,0.436,8.73,10.15,118.9,0.61,7.58,2.61
3/28/2023 7:10,556,14.588,0.53,0.434,8.74,10.21,118.8,0.54,7.59,2.96
3/28/2023 7:15,695.04,14.598,0.46,0.436,8.75,10.22,118.8,0.53,7.61,2.6
3/28/2023 7:20,836.16,14.583,0.46,0.435,8.77,10.22,118.6,0.54,7.6,2.69
3/28/2023 7:25,782.72,14.619,0.47,0.436,8.74,10.21,118.8,0.53,7.6,2.69
3/28/2023 7:30,683.84,14.568,0.56,0.435,8.77,10.23,118.6,0.58,7.6,2.76
3/28/2023 7:35,484.48,14.571,0.5,0.438,8.75,10.2,118.7,0.56,7.6,2.57
3/28/2023 7:40,711.36,14.492,0.5,0.437,8.76,10.23,118.8,0.57,7.61,3.2
3/28/2023 7:45,691.2,14.535,0.47,0.437,8.77,10.2,118.8,0.58,7.6,2.81
3/28/2023 7:50,1128.32,14.542,0.52,0.435,8.77,10.2,118.8,0.56,7.6,2.87
3/28/2023 7:55,2728.96,14.545,0.62,0.434,8.77,10.21,118.8,0.58,7.6,3.04
3/28/2023 8:00,3152.64,14.564,0.46,0.435,8.78,10.2,118.8,0.51,7.6,2.7
3/28/2023 8:05,3649.28,14.518,0.49,0.434,8.78,10.22,118.6,0.55,7.6,2.8
3/28/2023 8:10,2741.76,14.55,0.6,0.434,8.77,10.25,118.6,0.54,7.61,2.61
3/28/2023 8:15,3325.44,14.468,0.59,0.433,8.77,10.2,118.6,0.58,7.6,2.69
3/28/2023 8:20,3590.4,14.477,0.43,0.433,8.78,10.18,118.7,0.55,7.6,2.74
3/28/2023 8:25,3549.44,14.54,0.47,0.434,8.75,10.17,118.8,0.57,7.6,3.38
3/28/2023 8:30,3238.4,14.478,0.49,0.435,8.75,10.18,118.8,0.57,7.6,2.88
3/28/2023 8:35,3390.72,14.464,0.57,0.447,8.63,10.16,118.8,0.58,7.59,4.31
3/28/2023 8:40,4331.52,14.492,0.74,0.436,8.69,10.08,119,0.63,7.55,6.68
3/28/2023 8:45,4244.48,14.517,0.62,0.437,8.71,10.11,118.9,0.58,7.57,4.55
3/28/2023 8:50,3816.96,14.409,0.46,0.437,8.74,10.14,119.2,0.54,7.57,2.61
3/28/2023 8:55,3736.32,14.447,0.47,0.435,8.74,10.1,119.3,0.56,7.55,2.53
3/28/2023 9:00,3829.76,14.438,0.63,0.434,8.72,10.07,119.6,0.56,7.54,2.6
3/28/2023 9:05,4405.76,14.453,0.52,0.433,8.72,10.05,119.4,0.57,7.54,2.68
3/28/2023 9:10,5690.88,14.445,0.51,0.434,8.71,10.12,119.5,0.54,7.55,2.69
3/28/2023 9:15,5347.84,14.461,0.53,0.435,8.71,10.1,119.4,0.56,7.54,2.61
3/28/2023 9:20,5486.08,14.44,0.47,0.435,8.71,10.12,119.4,0.57,7.55,2.65
3/28/2023 9:25,5057.28,14.457,0.53,0.437,8.71,10.09,119.5,0.59,7.55,2.86
3/28/2023 9:30,5862.4,14.477,0.51,0.435,8.69,10.09,119.4,0.6,7.55,2.79
3/28/2023 9:35,5972.48,14.432,0.49,0.436,8.7,10.12,119.7,0.58,7.55,2.62
3/28/2023 9:40,6579.2,14.46,0.47,0.436,8.69,10.04,119.7,0.54,7.52,2.52
3/28/2023 9:45,11223.04,14.43,0.55,0.435,8.66,10.04,119.7,0.59,7.52,3.55
3/28/2023 9:50,10721.28,14.453,0.52,0.435,8.64,10.05,119.6,0.62,7.53,3.52
3/28/2023 9:55,15662.08,14.456,0.49,0.434,8.66,10.08,119.6,0.56,7.53,2.7
3/28/2023 10:00,17003.52,14.517,0.47,0.437,8.65,10.07,119.5,0.58,7.53,2.82
3/28/2023 10:05,13332.48,14.607,0.47,0.438,8.59,10.08,119.3,0.54,7.54,2.53
3/28/2023 10:10,13440,14.612,0.42,0.439,8.61,10.12,119.5,0.56,7.54,2.6
3/28/2023 10:15,10017.28,14.666,0.45,0.439,8.6,10.13,119.2,0.53,7.55,2.61
3/28/2023 10:20,13245.44,14.7,0.48,0.439,8.6,10.14,119.1,0.56,7.54,2.59
3/28/2023 10:25,26880,14.761,0.48,0.439,8.57,10.19,119.3,0.54,7.56,2.69
3/28/2023 10:30,21135.36,14.9,0.48,0.439,8.54,10.18,118.9,0.5,7.58,2.86
3/28/2023 10:35,12436.48,14.937,0.49,0.439,8.53,10.16,119,0.55,7.56,2.88
3/28/2023 10:40,9543.68,14.965,0.47,0.439,8.52,10.16,119,0.54,7.57,2.77
3/28/2023 10:45,20136.96,15.005,0.44,0.44,8.53,10.23,119.1,0.52,7.59,2.73
3/28/2023 10:50,30423.04,15.07,0.51,0.44,8.53,10.3,118.9,0.56,7.6,2.49
3/28/2023 10:55,26245.12,15.132,0.41,0.439,8.47,10.34,118.7,0.5,7.62,2.76
3/28/2023 11:00,24033.28,15.223,0.41,0.438,8.47,10.39,118.7,0.53,7.65,2.56
3/28/2023 11:05,10314.24,15.318,0.4,0.439,8.45,10.39,118.8,0.49,7.65,2.59
3/28/2023 11:10,9991.68,15.388,0.43,0.438,8.44,10.42,118.8,0.5,7.65,2.82
3/28/2023 11:15,26890.24,15.439,0.44,0.438,8.41,10.45,118.6,0.51,7.67,2.59
3/28/2023 11:20,28590.08,15.49,0.46,0.44,8.41,10.45,118.9,0.51,7.67,2.44
3/28/2023 11:25,23848.96,15.634,0.37,0.439,8.37,10.43,118.6,0.48,7.66,2.44
3/28/2023 11:30,25221.12,15.699,0.39,0.436,8.38,10.46,118.6,0.49,7.67,2.81
3/28/2023 11:35,19164.16,15.729,0.36,0.438,8.4,10.54,119,0.49,7.67,2.49
3/28/2023 11:40,30627.84,16.072,0.44,0.437,8.4,10.49,119,0.53,7.67,2.6
3/28/2023 11:45,30371.84,15.947,0.41,0.438,8.33,10.53,118.3,0.46,7.69,2.54
3/28/2023 11:50,14187.52,16.193,0.43,0.439,8.35,10.6,118.7,0.49,7.71,2.96
3/28/2023 11:55,15856.64,16.2,0.4,0.44,8.33,10.57,118.7,0.45,7.69,3.19
3/28/2023 12:00,26593.28,16.168,0.49,0.44,8.35,10.54,118.2,0.49,7.69,2.69
3/28/2023 12:05,31989.76,16.193,0.46,0.439,8.34,10.53,118.2,0.46,7.69,3.27
3/28/2023 12:10,30023.68,16.248,0.41,0.438,8.32,10.52,118.2,0.45,7.67,3.23
3/28/2023 12:15,24995.84,16.379,0.49,0.438,8.3,10.47,118.3,0.48,7.65,4.01
3/28/2023 12:20,20490.24,16.289,0.43,0.44,8.29,10.56,118.1,0.46,7.68,2.87
3/28/2023 12:25,17346.56,16.448,0.47,0.439,8.28,10.43,118.1,0.47,7.63,3.78
3/28/2023 12:30,22097.92,16.559,0.44,0.438,8.26,10.48,118.1,0.47,7.66,3.5
3/28/2023 12:35,21360.64,16.519,0.45,0.439,8.27,10.49,118,0.43,7.65,3.03
3/28/2023 12:40,20188.16,16.529,0.48,0.44,8.27,10.52,118,0.44,7.67,3.12
3/28/2023 12:45,21913.6,16.489,0.44,0.439,8.26,10.67,118.3,0.45,7.71,2.97
3/28/2023 12:50,19717.12,16.577,0.47,0.44,8.27,10.76,118.2,0.45,7.73,2.78
3/28/2023 12:55,17167.36,16.6,0.39,0.441,8.25,10.55,118,0.44,7.69,2.59
3/28/2023 13:00,20638.72,16.766,0.43,0.439,8.27,10.47,118.1,0.43,7.64,3.15
3/28/2023 13:05,16076.8,16.751,0.51,0.44,8.13,10.47,118.1,0.43,7.63,4.94
3/28/2023 13:10,15488,16.793,0.65,0.442,8.08,10.35,118,0.5,7.6,5.67
3/28/2023 13:15,10741.76,16.86,0.53,0.441,8.1,10.36,118,0.44,7.59,6.16
3/28/2023 13:20,10803.2,16.684,0.47,0.442,8.12,10.47,118.2,0.46,7.65,4.56
3/28/2023 13:25,12646.4,16.817,0.77,0.441,7.79,10.12,118,0.55,7.54,12.79
3/28/2023 13:30,11371.52,16.776,0.75,0.442,7.7,10.25,118,0.57,7.56,15.86
3/28/2023 13:35,11770.88,16.78,0.86,0.443,7.44,10.19,117.8,0.6,7.56,18.97
3/28/2023 13:40,6223.36,16.908,1.08,0.445,7.41,9.85,117.6,0.66,7.47,21.18
3/28/2023 13:45,7150.08,16.839,0.62,0.444,7.94,9.99,118,0.5,7.5,7.93
3/28/2023 13:50,7836.16,16.948,0.75,0.445,7.72,10.01,117.6,0.53,7.51,10.06
3/28/2023 13:55,8373.76,16.934,0.97,0.446,7.33,10.04,117.5,0.59,7.49,17.74
3/28/2023 14:00,3111.68,16.924,0.83,0.446,7.55,10,117.6,0.53,7.47,16.02
3/28/2023 14:05,11125.76,16.905,0.7,0.446,7.72,10.21,117.7,0.48,7.53,9.03
3/28/2023 14:10,9466.88,16.947,0.92,0.446,7.5,10.2,117.5,0.56,7.54,14.87
3/28/2023 14:15,7116.8,16.948,1.06,0.446,7.05,10.05,117.3,0.68,7.48,25.31
3/28/2023 14:20,11223.04,16.829,1.05,0.447,7.53,10.06,117.6,0.62,7.5,21.95
3/28/2023 14:25,11197.44,16.797,0.74,0.448,7.5,10.28,117.5,0.56,7.55,13.25
3/28/2023 14:30,10675.2,16.819,0.94,0.447,7.36,10.02,117.3,0.63,7.47,19.03
3/28/2023 14:35,8153.6,16.875,1.2,0.447,6.99,9.63,116.9,0.66,7.37,30.38
3/28/2023 14:40,8314.88,16.958,1.08,0.449,7.13,9.63,116.6,0.64,7.37,19.38
3/28/2023 14:45,8962.56,16.929,0.9,0.448,7.29,9.77,116.8,0.61,7.4,16.6
3/28/2023 14:50,8908.8,16.96,1.03,0.448,7.02,9.76,116.7,0.64,7.4,23.21
3/28/2023 14:55,5017.6,16.991,1.32,0.447,6.56,9.94,116.6,0.75,7.43,33.99
3/28/2023 15:00,2275.84,17.006,1.3,0.448,6.47,9.81,116.4,0.77,7.41,38.83
3/28/2023 15:05,7226.88,16.909,1.17,0.448,6.86,9.86,116.5,0.69,7.42,23.33
3/28/2023 15:10,5440,16.899,1.28,0.448,6.92,9.83,116.5,0.83,7.4,26.88
3/28/2023 15:15,1361.92,16.807,1.02,0.447,7.26,10.14,116.9,0.61,7.49,17.03
3/28/2023 15:20,4509.44,16.765,1.04,0.447,6.99,10.01,116.4,0.65,7.44,20.94
